Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
node2vec_mrr_54781d3a-eddd-4f78-b0ed-efa838548199,0.3688,0.4791,0.5475,0.8517,0.4337,0.3688,0.4791,0.5475,0.8517,0.8454,0.8877
node2vec_mrr_19b4dd2e-a46c-4ad8-86b4-2215a6920f9d,0.1407,0.5247,0.5932,0.8403,0.3064,0.1407,0.5247,0.5932,0.8403,0.8391,0.8814
node2vec_mrr_6ccb4605-f64e-4465-9e70-57d8a5dc6129,0.0206,0.0321,0.0463,0.3611,0.0386,0.0206,0.0321,0.0463,0.3611,0.9142,0.8962
node2vec_mrr_aaa43c9c-8b8f-4edc-8dc7-5398540261ba,0.4221,0.5475,0.6198,0.8251,0.5031,0.4221,0.5475,0.6198,0.8251,0.841,0.8875
node2vec_mrr_660581ef-e286-457f-823a-ff0001effa75,0.4335,0.5171,0.6008,0.8479,0.4945,0.4335,0.5171,0.6008,0.8479,0.8591,0.8966
node2vec_mrr_b0fa47f9-d925-4c90-9a04-4f2e352de676,0.4221,0.4563,0.5627,0.8213,0.4657,0.4221,0.4563,0.5627,0.8213,0.8311,0.879
node2vec_mrr_b13c9e41-e56e-4f88-b2a0-6f864965977f,0.3422,0.3764,0.5779,0.8555,0.4075,0.3422,0.3764,0.5779,0.8555,0.8516,0.8893
node2vec_mrr_696f4f19-6058-4c17-92c6-c76bfb56a695,0.0145,0.0201,0.0362,0.3438,0.0303,0.0145,0.0201,0.0362,0.3438,0.8879,0.8691
node2vec_mrr_76200149-2ac7-4112-a187-8604deb913cc,0.3764,0.4829,0.6274,0.8289,0.4673,0.3764,0.4829,0.6274,0.8289,0.8383,0.8885
node2vec_mrr_cc49b2d5-b6c4-4e92-a9e9-c75bed54ab91,0.2205,0.3308,0.5171,0.8023,0.3146,0.2205,0.3308,0.5171,0.8023,0.8112,0.8596
node2vec_mrr_9ab52902-f22b-44fe-b075-a5c9a7a1f22f,0.346,0.3574,0.6122,0.8593,0.403,0.346,0.3574,0.6122,0.8593,0.8607,0.8926
node2vec_mrr_c4ab67da-5626-4962-9a0f-68c3b2b0e5cc,0.2319,0.3992,0.6046,0.8175,0.3615,0.2319,0.3992,0.6046,0.8175,0.8284,0.8773
node2vec_mrr_f97b31fa-79a0-40e4-9d4d-5460db6cd0e8,0.0265,0.0351,0.0553,0.3922,0.0425,0.0265,0.0351,0.0553,0.3922,0.9112,0.8958
node2vec_mrr_10f8c3ca-74a2-407f-91cb-9fd0780de102,0.2586,0.4677,0.5665,0.8213,0.3906,0.2586,0.4677,0.5665,0.8213,0.8403,0.8825
node2vec_mrr_696b6d0d-9b40-426a-b4ab-c150ee666357,0.1369,0.4563,0.6274,0.8365,0.3282,0.1369,0.4563,0.6274,0.8365,0.8322,0.8809
node2vec_mrr_62c6c4b7-d30d-4ffe-a58c-ba8e938d8863,0.2814,0.4677,0.6426,0.8023,0.4021,0.2814,0.4677,0.6426,0.8023,0.8253,0.8781
node2vec_mrr_0cc52088-dd50-4a10-9671-044dafcbecb9,0.3916,0.4829,0.5627,0.8251,0.4588,0.3916,0.4829,0.5627,0.8251,0.8446,0.8881
node2vec_mrr_d833442c-7ea6-48f2-8a07-d29bc6093d45,0.0267,0.0451,0.0619,0.3932,0.0487,0.0267,0.0451,0.0619,0.3932,0.9108,0.8981
node2vec_mrr_05f86508-3ff6-40d1-b507-07d8b206daae,0.3878,0.5171,0.6084,0.8555,0.4736,0.3878,0.5171,0.6084,0.8555,0.8617,0.8995
node2vec_mrr_81924d56-da20-4e49-add8-09be986cb26d,0.4068,0.4601,0.6274,0.8251,0.4747,0.4068,0.4601,0.6274,0.8251,0.8447,0.8925
node2vec_mrr_2e4fcc64-d750-49ae-966c-4140cb8bb7c0,0.1901,0.4183,0.5817,0.7985,0.3511,0.1901,0.4183,0.5817,0.7985,0.8201,0.8754
node2vec_mrr_37b89ff9-0e93-4069-bcc2-39bfe8d8bfc3,0.365,0.5703,0.6236,0.8593,0.4805,0.365,0.5703,0.6236,0.8593,0.8604,0.902
node2vec_mrr_8570de2e-e669-4e12-8728-07000674f1f9,0.0216,0.0285,0.0504,0.3573,0.0365,0.0216,0.0285,0.0504,0.3573,0.8944,0.8778
node2vec_mrr_b19fb7f1-fe36-48ee-a1c3-192d435c3564,0.3878,0.5665,0.6616,0.8365,0.4896,0.3878,0.5665,0.6616,0.8365,0.8485,0.8949
node2vec_mrr_eea842f9-528a-44ab-a2dd-22818ce585de,0.3726,0.4601,0.6046,0.8441,0.4463,0.3726,0.4601,0.6046,0.8441,0.8505,0.892
node2vec_mrr_f4292a6e-4b6d-478f-b9a5-39f469976b0a,0.3232,0.384,0.6844,0.8327,0.4073,0.3232,0.384,0.6844,0.8327,0.8532,0.8961
node2vec_mrr_91122131-f206-46c0-b060-54fc049bc0d6,0.0255,0.0339,0.0525,0.3942,0.0453,0.0255,0.0339,0.0525,0.3942,0.9126,0.8998
node2vec_mrr_8e76878c-0053-46a2-b007-663f506ce1de,0.4411,0.5057,0.597,0.8365,0.4948,0.4411,0.5057,0.597,0.8365,0.8389,0.8879
node2vec_mrr_c3caee29-b06f-4e2f-9648-a2ab46d632d5,0.3232,0.4639,0.5779,0.8403,0.4285,0.3232,0.4639,0.5779,0.8403,0.8596,0.8975
node2vec_mrr_31c80bd1-b608-402a-9b1e-6e4ae4a40a41,0.384,0.4449,0.5703,0.8403,0.4391,0.384,0.4449,0.5703,0.8403,0.8471,0.8889
node2vec_mrr_3425f5fc-c52e-41b9-8abe-79fb36487de6,0.2281,0.384,0.6502,0.8213,0.3555,0.2281,0.384,0.6502,0.8213,0.8373,0.883
node2vec_mrr_5fb30f08-8f49-4314-8441-399c337d0206,0.0214,0.0369,0.0461,0.3076,0.0377,0.0214,0.0369,0.0461,0.3076,0.8943,0.8734
node2vec_mrr_1f1a5c97-97d4-4264-9b6c-3c83ee7fdbde,0.27,0.3992,0.6046,0.8517,0.3788,0.27,0.3992,0.6046,0.8517,0.8618,0.8937
node2vec_mrr_e9b86f1d-4980-4636-b3da-a14de7afec43,0.027,0.0377,0.0866,0.4693,0.0531,0.027,0.0377,0.0866,0.4693,0.9253,0.9168
node2vec_mrr_4636f3f6-7257-40fd-981f-3dcb34df3490,0.0275,0.0334,0.0596,0.37,0.0444,0.0275,0.0334,0.0596,0.37,0.9075,0.8927
node2vec_mrr_454cfc0a-4c97-45cf-846b-c8c9eb35b2e4,0.0308,0.0321,0.0535,0.3771,0.0461,0.0308,0.0321,0.0535,0.3771,0.9087,0.8943
node2vec_mrr_666cfa38-d95e-4bcf-b888-faa9cb16ac10,0.0326,0.0402,0.0838,0.437,0.0582,0.0326,0.0402,0.0838,0.437,0.9239,0.9148
node2vec_mrr_fe0b16b0-9225-45b7-bc52-ebac03bedb3b,0.0181,0.0321,0.057,0.3428,0.0373,0.0181,0.0321,0.057,0.3428,0.9081,0.8908
node2vec_mrr_fba7424c-b705-4e84-a8ab-7f5ef45602b8,0.0438,0.0481,0.0736,0.4128,0.0617,0.0438,0.0481,0.0736,0.4128,0.9223,0.9091
node2vec_mrr_f2e93789-55e5-40bb-be20-e0df2607deb1,0.0357,0.0438,0.0726,0.4377,0.0554,0.0357,0.0438,0.0726,0.4377,0.9238,0.9123
node2vec_mrr_d73d80e8-c020-4ed6-be0b-a3ee47f8f3d5,0.0219,0.0387,0.0843,0.4153,0.046,0.0219,0.0387,0.0843,0.4153,0.9176,0.9059
node2vec_mrr_33cf59b4-fadd-4332-8604-0a59294a7c4b,0.0206,0.0288,0.0331,0.3007,0.0336,0.0206,0.0288,0.0331,0.3007,0.8989,0.8759
node2vec_mrr_78ff4bf4-f37b-41c2-9d32-af7352c2624d,0.028,0.0351,0.055,0.4026,0.0476,0.028,0.0351,0.055,0.4026,0.9143,0.9001
node2vec_mrr_77b95dab-3392-4ac2-8afe-f6bbe52ba919,0.0267,0.0654,0.095,0.4657,0.0627,0.0267,0.0654,0.095,0.4657,0.9268,0.9182
node2vec_mrr_c10954a4-cbe4-486b-9701-1447059ece21,0.0306,0.0387,0.0675,0.3338,0.0496,0.0306,0.0387,0.0675,0.3338,0.9116,0.8932
node2vec_mrr_8922eff0-0dfe-4a19-a437-1792bc25d136,0.0321,0.0479,0.1008,0.4286,0.0589,0.0321,0.0479,0.1008,0.4286,0.9217,0.9115
node2vec_mrr_1cba26a3-1c6c-42ad-9da2-3c42cec0ecbc,0.0209,0.0357,0.0504,0.3262,0.0397,0.0209,0.0357,0.0504,0.3262,0.9031,0.8828
node2vec_mrr_5fbb4d25-d9c4-4319-a2e7-dfdf705f36c5,0.0344,0.0507,0.0685,0.3967,0.0545,0.0344,0.0507,0.0685,0.3967,0.9154,0.9016
node2vec_mrr_38893235-17b4-45f9-99c5-766ac3b1663b,0.026,0.0323,0.0588,0.3756,0.0443,0.026,0.0323,0.0588,0.3756,0.9109,0.8945
