Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP
node2vec_mrr_ffd8bd5c-7595-4745-bc25-1523cbfcf7ee,0.0186,0.0359,0.0593,0.3787,0.0431,0.0186,0.0359,0.0593,0.3787,0.9198,0.9049
node2vec_mrr_26d9218a-96d0-4d85-9670-70293287c6d7,0.0611,0.107,0.1688,0.4326,0.1005,0.0611,0.107,0.1688,0.4326,0.9241,0.917
node2vec_mrr_9ec1a409-d67b-472b-a6fe-3f88a26e8ca9,0.0222,0.0224,0.0815,0.4029,0.0433,0.0222,0.0224,0.0815,0.4029,0.92,0.9069
node2vec_mrr_be9dc107-bdeb-486d-af87-f373a470d358,0.0397,0.0616,0.0978,0.384,0.0654,0.0397,0.0616,0.0978,0.384,0.9177,0.9054
node2vec_mrr_535b49c5-46cb-4513-a2e8-50004caa955f,0.095,0.1126,0.1775,0.3456,0.1216,0.095,0.1126,0.1775,0.3456,0.8564,0.8604
node2vec_mrr_c8f77a26-3d0b-47f9-a0c2-7d3ac01e9be9,0.0596,0.0848,0.135,0.4782,0.0912,0.0596,0.0848,0.135,0.4782,0.933,0.928
node2vec_mrr_2ee6a795-adc3-47db-b47e-5f9fac0a9953,0.0336,0.0632,0.1204,0.4686,0.0685,0.0336,0.0632,0.1204,0.4686,0.9289,0.9212
node2vec_mrr_fabf08cf-b924-48b1-bc43-91d390b95968,0.0479,0.0578,0.0784,0.4543,0.0705,0.0479,0.0578,0.0784,0.4543,0.9281,0.9191
node2vec_mrr_ee3ba1f7-a6f1-4eb0-b874-e60024251281,0.0321,0.0458,0.0975,0.4382,0.0628,0.0321,0.0458,0.0975,0.4382,0.9226,0.9143
node2vec_mrr_c38e6ef1-155a-4b26-a1bf-4f33a847bb79,0.0171,0.0216,0.0509,0.331,0.0328,0.0171,0.0216,0.0509,0.331,0.9062,0.8846
node2vec_mrr_58b5bdb2-4dc7-44cf-a3bc-11fac7b979a0,0.0115,0.0451,0.0876,0.4202,0.0456,0.0115,0.0451,0.0876,0.4202,0.9199,0.909
node2vec_mrr_b3835b2b-726c-4322-9942-df3c1d26c4c2,0.0601,0.0812,0.1772,0.4897,0.096,0.0601,0.0812,0.1772,0.4897,0.9363,0.9316
node2vec_mrr_092e8c7d-522b-4315-9f59-ab56124c2fb0,0.0456,0.0787,0.1373,0.3899,0.0788,0.0456,0.0787,0.1373,0.3899,0.9227,0.9132
node2vec_mrr_3bd62579-39b5-496a-a68c-b63f3ebed2ab,0.0346,0.0833,0.1637,0.4871,0.085,0.0346,0.0833,0.1637,0.4871,0.932,0.927
node2vec_mrr_19206be2-6a7f-4036-92cf-efe53fca2308,0.029,0.0402,0.111,0.4209,0.0579,0.029,0.0402,0.111,0.4209,0.9267,0.9166
node2vec_mrr_3fbd0e79-87dc-4a39-a010-006aaa70e30d,0.0265,0.0362,0.0851,0.386,0.0518,0.0265,0.0362,0.0851,0.386,0.9168,0.9044
node2vec_mrr_d2feae9f-ab2c-44cc-9e88-0d1a61a4a20b,0.0155,0.0474,0.0761,0.4069,0.0472,0.0155,0.0474,0.0761,0.4069,0.9154,0.9041
node2vec_mrr_0cae07c7-293b-42e8-9378-6e1cfc32e040,0.0247,0.0448,0.1075,0.422,0.0571,0.0247,0.0448,0.1075,0.422,0.9191,0.9091
node2vec_mrr_6ba4cd23-1284-4746-8896-c87f6d64d0f0,0.0461,0.0624,0.1204,0.3934,0.0725,0.0461,0.0624,0.1204,0.3934,0.9217,0.9114
node2vec_mrr_edb22832-076d-44ef-8780-57298ef551e2,0.0204,0.0415,0.0738,0.4209,0.0501,0.0204,0.0415,0.0738,0.4209,0.9223,0.9115
node2vec_mrr_9fc3cb76-a350-4a5c-b312-4a9ab7d8e101,0.0672,0.1864,0.247,0.5485,0.1495,0.0672,0.1864,0.247,0.5485,0.9443,0.9429
node2vec_mrr_799573d1-f470-4c5c-9a89-6c5e4eba0a19,0.0527,0.0718,0.1767,0.466,0.088,0.0527,0.0718,0.1767,0.466,0.9334,0.9271
node2vec_mrr_05019057-b7e7-4669-9471-c2b855f97f0c,0.0377,0.0545,0.0802,0.4186,0.0605,0.0377,0.0545,0.0802,0.4186,0.9214,0.9104
node2vec_mrr_896b7acc-8086-4cc3-ad51-eb148dae2d4d,0.0186,0.0451,0.0667,0.4174,0.05,0.0186,0.0451,0.0667,0.4174,0.921,0.9101
node2vec_mrr_274c2e17-c020-4968-8ab5-9f4954f60ac4,0.0328,0.0425,0.0927,0.4054,0.0547,0.0328,0.0425,0.0927,0.4054,0.921,0.9085
node2vec_mrr_b99a35ac-45c0-43fa-80a0-0448202a8254,0.0199,0.027,0.0553,0.3685,0.0384,0.0199,0.027,0.0553,0.3685,0.9098,0.8928
node2vec_mrr_n11v7up9,0.0334,0.0407,0.0545,0.3529,0.0494,0.0334,0.0407,0.0545,0.3529,0.9134,0.8969
node2vec_mrr_6peoz6ac,0.025,0.0474,0.0629,0.3305,0.0479,0.025,0.0474,0.0629,0.3305,0.91,0.8934
node2vec_mrr_qk592tz0,0.0158,0.0239,0.0423,0.3094,0.0316,0.0158,0.0239,0.0423,0.3094,0.9009,0.878
node2vec_mrr_j3epehrj,0.0209,0.0318,0.0596,0.3715,0.0409,0.0209,0.0318,0.0596,0.3715,0.9125,0.8954
node2vec_mrr_06f03fm5,0.0181,0.0392,0.0614,0.3287,0.0407,0.0181,0.0392,0.0614,0.3287,0.9024,0.8851
node2vec_mrr_d1qni93s,0.0166,0.0247,0.0458,0.2984,0.0317,0.0166,0.0247,0.0458,0.2984,0.8956,0.8744
node2vec_mrr_okiji9kg,0.0323,0.0359,0.0581,0.3456,0.0474,0.0323,0.0359,0.0581,0.3456,0.9067,0.8891
node2vec_mrr_h3uwh6ce,0.0069,0.0183,0.039,0.1854,0.0209,0.0069,0.0183,0.039,0.1854,0.8787,0.8459
node2vec_mrr_rxgvbohg,0.0138,0.0176,0.039,0.3051,0.0282,0.0138,0.0176,0.039,0.3051,0.8949,0.8735
node2vec_mrr_48x0xxbr,0.0278,0.0354,0.0593,0.3588,0.046,0.0278,0.0354,0.0593,0.3588,0.9121,0.8967
node2vec_mrr_nxet3t9c,0.0173,0.0295,0.0451,0.2577,0.0328,0.0173,0.0295,0.0451,0.2577,0.8882,0.8658
node2vec_mrr_7xksnuge,0.0201,0.0405,0.0517,0.357,0.044,0.0201,0.0405,0.0517,0.357,0.9132,0.8976
node2vec_mrr_42xfnc6w,0.0272,0.0451,0.0652,0.3995,0.0499,0.0272,0.0451,0.0652,0.3995,0.9189,0.9056
node2vec_mrr_9jnl5aaq,0.0265,0.0326,0.0629,0.4067,0.0477,0.0265,0.0326,0.0629,0.4067,0.9217,0.9088
node2vec_mrr_wzph0nxh,0.0418,0.0522,0.0688,0.368,0.0596,0.0418,0.0522,0.0688,0.368,0.9151,0.9007
node2vec_mrr_znvc3nfm,0.0176,0.0367,0.0497,0.3728,0.0379,0.0176,0.0367,0.0497,0.3728,0.9168,0.8989
node2vec_mrr_881r39uu,0.0234,0.0402,0.1077,0.4347,0.0525,0.0234,0.0402,0.1077,0.4347,0.9263,0.9156
node2vec_mrr_pua5or6p,0.0288,0.0344,0.0744,0.3804,0.0491,0.0288,0.0344,0.0744,0.3804,0.9157,0.9009
node2vec_mrr_avn9agk3,0.0132,0.0385,0.0578,0.3613,0.0397,0.0132,0.0385,0.0578,0.3613,0.9153,0.8974
node2vec_mrr_thdeyw5j,0.025,0.0265,0.0746,0.4069,0.047,0.025,0.0265,0.0746,0.4069,0.9167,0.9051
node2vec_mrr_weqruykl,0.0148,0.0316,0.0644,0.2473,0.0336,0.0148,0.0316,0.0644,0.2473,0.885,0.8607
node2vec_mrr_cj9t4zek,0.0,0.0194,0.057,0.4194,0.0289,0.0,0.0194,0.057,0.4194,0.9194,0.9049
node2vec_mrr_4plr9qd3,0.0155,0.0255,0.053,0.3692,0.0369,0.0155,0.0255,0.053,0.3692,0.916,0.8985
node2vec_mrr_b6aoo0gc,0.027,0.0374,0.0851,0.385,0.0496,0.027,0.0374,0.0851,0.385,0.9203,0.9074
node2vec_mrr_ytb13awl,0.03,0.043,0.1039,0.4334,0.0562,0.03,0.043,0.1039,0.4334,0.925,0.9144
node2vec_mrr_iy6w8v5a,0.014,0.0405,0.0779,0.4326,0.0445,0.014,0.0405,0.0779,0.4326,0.9272,0.916
node2vec_mrr_k8hn911i,0.0132,0.0262,0.1044,0.4245,0.0437,0.0132,0.0262,0.1044,0.4245,0.9251,0.9137
node2vec_mrr_5td8tigv,0.0354,0.0443,0.0721,0.4375,0.0571,0.0354,0.0443,0.0721,0.4375,0.925,0.9137
node2vec_mrr_m15abpi6,0.0272,0.0629,0.0975,0.4545,0.0609,0.0272,0.0629,0.0975,0.4545,0.9252,0.9159
node2vec_mrr_ieurtyie,0.027,0.0479,0.1026,0.4515,0.0592,0.027,0.0479,0.1026,0.4515,0.9231,0.914
