Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_runlu052ksb_GAT_Variant,95.2,93.54,97.79,98.52,98.15,99.45,95.87,95.2,93.54,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,4,0.1,0.1,3,0.015,3,2,64,1,3,0.1,inner,2000,0.9921977519989014,1.0405161380767822,12280
cora_runwvivt6xd_GAT_Variant,95.57,93.54,97.79,98.52,98.15,99.45,95.87,95.57,93.54,97.79,98.52,98.15,99.45,99.71,99.79,97.05,64,32,8,0.1,0.1,1,0.015,3,2,64,1,3,0.1,dot,2000,1.117694616317749,1.1771626472473145,100289
cora_runlu052ksb_GAT_Variant,95.2,93.54,97.79,98.52,98.15,99.45,95.87,95.2,93.54,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,4,0.1,0.1,3,0.015,3,2,64,1,3,0.1,dot,2000,1.0942800045013428,1.1498379707336426,20665
cora_runwvivt6xd_GAT_Variant,95.57,93.54,97.79,98.52,98.15,99.45,95.87,95.57,93.54,97.79,98.52,98.15,99.45,99.71,99.79,97.05,64,32,8,0.1,0.1,2,0.015,3,2,64,1,3,0.1,inner,2000,0.8580818176269531,0.8804314136505127,48192
cora_runlu052ksb_GAT_Variant,95.2,93.54,97.79,98.52,98.15,99.45,95.87,95.2,93.54,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,8,0.1,0.0,1,0.015,3,2,64,1,3,0.1,inner,2000,0.7001039981842041,0.7423510551452637,91904
cora_runlu052ksb_GAT_Variant,95.2,95.57,97.79,98.52,98.15,99.45,95.87,95.2,95.57,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,8,0.1,0.0,1,0.015,3,2,64,1,3,0.1,dot,2000,1.0862631797790527,1.1162457466125488,100289
cora_runwvivt6xd_GAT_Variant,95.57,93.54,97.79,98.52,98.15,99.45,95.87,95.57,93.54,97.79,98.52,98.15,99.45,99.71,99.79,97.05,64,32,8,0.1,0.1,2,0.015,3,2,64,1,3,0.1,dot,2000,1.100910186767578,1.17633056640625,56577
cora_runlu052ksb_GAT_Variant,95.2,95.57,97.79,98.52,98.15,99.45,95.87,95.2,95.57,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,8,0.1,0.0,2,0.015,3,2,64,1,3,0.1,inner,2000,0.949244260787964,0.9796924591064452,12192
cora_runwvivt6xd_GAT_Variant,95.57,93.54,97.79,98.52,98.15,99.45,95.87,95.57,93.54,97.79,98.52,98.15,99.45,99.71,99.79,97.05,64,32,8,0.1,0.1,3,0.015,3,2,64,1,3,0.1,inner,2000,1.3169426918029783,1.419989824295044,49312
cora_runlu052ksb_GAT_Variant,95.2,95.57,97.79,98.52,98.15,99.45,95.87,95.2,95.57,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,8,0.1,0.0,2,0.015,3,2,64,1,3,0.1,dot,2000,0.6734192371368408,0.8141100406646729,20577
cora_runwvivt6xd_GAT_Variant,95.57,93.54,97.79,98.52,98.15,99.45,95.87,95.57,93.54,97.79,98.52,98.15,99.45,99.71,99.79,97.05,64,32,8,0.1,0.1,3,0.015,3,2,64,1,3,0.1,dot,2000,1.1523358821868896,1.2109103202819824,57697
cora_runlu052ksb_GAT_Variant,95.2,95.57,97.79,98.52,98.15,99.45,95.87,95.2,95.57,97.79,98.52,98.15,99.45,99.72,99.79,97.05,64,8,8,0.1,0.0,3,0.015,3,2,64,1,3,0.1,inner,2000,0.9233555793762208,0.997807502746582,12280
