Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,1,2,16.0,1,3,0.1,inner,2000,0.9542038440704346,0.9868838787078856,4848
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,1,2,16.0,1,3,0.1,dot,2000,1.3281307220458984,1.3671464920043943,5409
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,1,2,16.0,1,3,0.1,dot,2000,1.3294470310211182,1.348677635192871,5409
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,2,2,64.0,1,1,0.1,inner,2000,0.8619747161865234,0.8922257423400879,4848
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,2,2,64.0,1,1,0.1,inner,2000,0.9172682762145996,0.9804956912994384,4848
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,2,2,64.0,1,1,0.1,dot,2000,1.1282930374145508,1.157026767730713,4865
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,2,2,64.0,1,1,0.1,dot,2000,1.1788511276245115,1.2206761837005615,4865
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,2,2,64.0,1,2,0.1,inner,2000,1.0263786315917969,1.0564305782318115,4848
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,2,2,64.0,1,2,0.1,inner,2000,0.8398137092590332,0.8521075248718262,4848
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,2,2,64.0,1,2,0.1,dot,2000,1.3085377216339111,1.3360865116119385,6001
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,2,2,64.0,1,2,0.1,dot,2000,0.9680569171905518,1.011099100112915,6001
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,2,2,64.0,1,3,0.1,inner,2000,1.2351558208465576,1.2472004890441897,4848
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,2,2,64.0,1,3,0.1,inner,2000,1.1850488185882568,1.231614589691162,4848
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,2,2,64.0,1,3,0.1,dot,2000,1.33146333694458,1.3438022136688232,10161
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,2,2,64.0,1,3,0.1,dot,2000,1.1674959659576416,1.1959340572357178,10161
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,2,2,32.0,1,1,0.1,inner,2000,1.1534910202026367,1.2070326805114746,4848
Tune,10.75,23.63,39.6,72.11,88.95,95.89,18.94,10.75,23.63,39.6,72.11,88.95,95.89,98.74,98.56,100.0,16,32,4,0.1,0,1,0.015,2,2,32.0,1,1,0.1,inner,2000,0.9552211761474608,0.9688420295715332,4848
Tune,0.0,34.84,51.42,66.13,82.05,94.32,13.56,0.0,34.84,52.28,59.33,82.05,94.32,98.15,97.87,100.0,16,32,4,0.1,0,1,0.015,2,2,32.0,1,1,0.1,dot,2000,0.9322292804718018,0.9445276260375975,4865
