Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,num_layers,base_lr,mlp_layer,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
Tune,0.0,41.78,54.21,60.65,76.62,97.57,43.98,0.0,0.0,54.21,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,2,2,16.0,1,2,0.1,inner,2000,0.938443660736084,0.9669721126556396,4816
Tune,0.0,41.78,54.21,60.65,76.62,97.57,43.98,0.0,0.0,54.21,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,2,2,16.0,1,2,0.1,dot,2000,0.8328111171722412,0.8735306262969971,5105
Tune,0.0,41.78,54.21,60.65,76.62,97.57,43.98,0.0,0.0,54.21,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,2,2,16.0,1,3,0.1,inner,2000,0.8123860359191895,0.8317196369171143,4816
Tune,0.0,41.78,54.21,60.65,76.62,97.57,43.98,0.0,0.0,54.21,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,2,2,16.0,1,3,0.1,dot,2000,0.8027522563934326,0.8227877616882324,5377
Tune,0.0,41.78,54.21,60.65,76.62,97.57,43.98,0.0,0.0,54.21,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,3,2,64.0,1,1,0.1,inner,2000,0.9809072017669678,1.0009095668792725,4816
Tune,0.0,41.78,54.21,60.65,76.62,97.57,43.98,0.0,0.0,54.21,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,3,2,64.0,1,1,0.1,dot,2000,0.9375312328338624,0.9605000019073486,4833
Tune,0.0,41.78,54.21,60.65,76.62,97.57,43.98,0.0,0.0,54.21,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,3,2,64.0,1,2,0.1,inner,2000,0.9233205318450928,0.9633908271789552,4816
Tune,0.0,41.78,54.21,60.65,76.62,97.57,43.98,0.0,0.0,54.21,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,3,2,64.0,1,2,0.1,dot,2000,0.9764459133148192,1.0380797386169434,5969
Tune,0.0,41.78,54.21,60.65,76.62,97.57,43.98,0.0,0.0,54.21,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,3,2,64.0,1,3,0.1,inner,2000,0.8986995220184326,0.9511492252349854,4816
Tune,0.0,41.78,54.21,60.65,76.62,97.57,43.98,0.0,0.0,54.21,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,3,2,64.0,1,3,0.1,dot,2000,1.0388133525848389,1.098402738571167,10129
Tune,0.0,41.78,54.21,60.65,76.62,97.57,43.98,0.0,0.0,54.21,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,3,2,32.0,1,1,0.1,inner,2000,0.8351805210113525,0.891190767288208,4816
Tune,0.0,41.78,53.14,60.65,76.62,97.57,43.98,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,3,2,32.0,1,1,0.1,dot,2000,0.8241002559661865,0.8361132144927979,4833
Tune,0.0,41.78,53.14,60.65,76.62,97.57,43.98,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,3,2,32.0,1,2,0.1,inner,2000,0.8757021427154541,0.902289867401123,4816
Tune,0.0,41.78,53.14,60.65,76.62,97.57,43.98,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,3,2,32.0,1,2,0.1,dot,2000,0.9244403839111328,0.9661738872528076,5393
Tune,0.0,41.78,53.14,60.65,76.62,97.57,43.98,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,3,2,32.0,1,3,0.1,inner,2000,0.8105688095092773,0.8559896945953369,4816
Tune,0.0,41.78,53.14,60.65,76.62,97.57,43.98,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,3,2,32.0,1,3,0.1,dot,2000,1.0038151741027832,1.0159180164337158,6449
Tune,0.0,41.78,53.14,60.65,76.62,97.57,43.98,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,3,2,16.0,1,1,0.1,inner,2000,0.9465889930725098,1.003035306930542,4816
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,3,2,16.0,1,1,0.1,dot,2000,0.9332513809204102,0.9964480400085448,4833
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,3,2,16.0,1,2,0.1,inner,2000,0.8153009414672852,0.8704767227172852,4816
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,3,2,16.0,1,2,0.1,dot,2000,0.9716753959655762,1.005183458328247,5105
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,3,2,16.0,1,3,0.1,inner,2000,0.9192719459533693,0.9450066089630128,4816
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,1,3,2,16.0,1,3,0.1,dot,2000,0.98502779006958,1.0283424854278564,5377
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,1,2,64.0,1,1,0.1,inner,2000,0.9882526397705078,1.0158312320709229,5088
Tune,0.0,41.78,53.14,60.65,76.62,97.57,21.26,0.0,0.0,53.14,60.65,76.62,97.57,97.61,97.62,96.2,16,16,1,0.015,2,1,2,64.0,1,1,0.1,dot,2000,0.8122920989990234,0.8306777477264404,5105
