Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP,acc
cora_ke35wpwk_gae,0.1977,0.4905,0.5779,0.8935,0.3567,0.1977,0.4905,0.5779,0.8935,0.897,0.9109,0.74525
cora_g25z5xlx_gae,0.1863,0.2053,0.3802,0.8859,0.2496,0.1863,0.2053,0.3802,0.8859,0.8501,0.8662,0.79658
cora_7u3pr6e9_gae,0.2471,0.4677,0.6198,0.9163,0.37,0.2471,0.4677,0.6198,0.9163,0.9098,0.9191,0.77186
cora_3fjxxz5c_gae,0.27,0.4259,0.6654,0.9125,0.4007,0.27,0.4259,0.6654,0.9125,0.9083,0.9245,0.75095
cora_1a48r1jw_gae,0.0722,0.1559,0.384,0.9202,0.1677,0.0722,0.1559,0.384,0.9202,0.8799,0.8794,0.8308
cora_b9ckrr48_gae,0.057,0.4449,0.6122,0.9125,0.2791,0.057,0.4449,0.6122,0.9125,0.911,0.915,0.75475
cora_olm9yrnf_gae,0.1179,0.3042,0.4411,0.9278,0.2431,0.1179,0.3042,0.4411,0.9278,0.8865,0.8906,0.78517
cora_lb9x3x8g_gae,0.1597,0.4449,0.6388,0.9163,0.3444,0.1597,0.4449,0.6388,0.9163,0.9061,0.9204,0.76806
cora_gep0drmd_gae,0.1711,0.2966,0.4335,0.8973,0.2672,0.1711,0.2966,0.4335,0.8973,0.8851,0.8875,0.76046
cora_j1ps790m_gae,0.27,0.5247,0.6008,0.9049,0.4094,0.27,0.5247,0.6008,0.9049,0.8896,0.9105,0.73764
cora_mpnym6bd_gae,0.2433,0.5171,0.5894,0.924,0.3979,0.2433,0.5171,0.5894,0.924,0.8957,0.9135,0.76046
cora_j9qw0dsl_gae,0.076,0.1673,0.4449,0.8859,0.1772,0.076,0.1673,0.4449,0.8859,0.8622,0.8714,0.82319
cora_xivaznxm_gae,0.2091,0.4106,0.6122,0.9049,0.3219,0.2091,0.4106,0.6122,0.9049,0.8983,0.9101,0.76996
cora_gftogy2b_gae,0.0798,0.1369,0.3118,0.8973,0.1602,0.0798,0.1369,0.3118,0.8973,0.8559,0.852,0.78897
cora_ga2vsrwp_gae,0.2167,0.3688,0.5894,0.8935,0.3353,0.2167,0.3688,0.5894,0.8935,0.8945,0.9073,0.73954
cora_ce2xh4ty_gae,0.0989,0.2053,0.4297,0.8973,0.2088,0.0989,0.2053,0.4297,0.8973,0.883,0.8824,0.76616
cora_un3vxq5r_gae,0.4221,0.4677,0.5551,0.9202,0.4719,0.4221,0.4677,0.5551,0.9202,0.913,0.9235,0.77757
cora_auniza2w_gae,0.1369,0.2205,0.5285,0.9392,0.2382,0.1369,0.2205,0.5285,0.9392,0.9007,0.8994,0.79087
cora_uodxlrgq_gae,0.3308,0.5551,0.6692,0.9202,0.4572,0.3308,0.5551,0.6692,0.9202,0.9106,0.9271,0.75475
cora_854j2ksp_gae,0.2395,0.4829,0.6122,0.9316,0.3545,0.2395,0.4829,0.6122,0.9316,0.9058,0.9161,0.76426
cora_6n31y0ab_gae,0.1635,0.308,0.4221,0.9125,0.266,0.1635,0.308,0.4221,0.9125,0.8961,0.8993,0.78707
cora_90g8j99z_gae,0.2395,0.3688,0.6426,0.943,0.3533,0.2395,0.3688,0.6426,0.943,0.9125,0.9216,0.79087
