Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,batch_size,dropout,num_layers,negative_slope,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_run9e0gcjvh_GCN_Variant_hypersyf53nhr,15.31,21.03,58.49,73.43,85.98,94.28,28.98,15.31,21.03,58.49,73.43,85.98,94.28,96.12,95.78,79.8,16,16,1024,0.1,1,0.1,0.001,1,2,32,1,2,0.1,inner,400,0.1101839542388916,0.1223957538604736,22944
cora_run9e0gcjvh_GCN_Variant_hyperrr5w80an,9.96,31.0,79.52,88.38,97.6,98.71,18.06,9.96,31.0,79.52,88.38,97.6,98.71,98.31,98.09,95.11,16,16,1024,0.1,1,0.1,0.001,1,2,32,1,2,0.1,dot,400,0.1240675449371337,0.1367802619934082,23521
cora_run9e0gcjvh_GCN_Variant_hyperxl8fqvvp,15.5,23.25,59.78,75.46,88.56,95.02,29.66,15.5,23.25,59.78,75.46,88.56,95.02,96.26,95.94,79.52,16,16,1024,0.1,1,0.1,0.001,1,2,32,1,3,0.1,inner,400,0.1109130382537841,0.1229763031005859,22944
cora_run9e0gcjvh_GCN_Variant_hyper2ibtw7ej,28.23,48.52,85.79,94.65,98.71,99.63,44.11,28.23,48.52,85.79,94.65,98.71,99.63,98.84,98.62,95.76,16,16,1024,0.1,1,0.1,0.001,1,2,32,1,3,0.1,dot,400,0.1318409442901611,0.144791841506958,24577
cora_run9e0gcjvh_GCN_Variant_hyperhdgyot3a,15.87,39.85,63.1,74.35,87.27,95.57,30.36,15.87,39.85,63.1,74.35,87.27,95.57,96.41,96.11,79.89,16,16,1024,0.1,1,0.1,0.001,1,2,16,1,1,0.1,inner,400,0.1477596759796142,0.1636173725128173,22944
cora_runcymbo6rs_GCN_Variant_hypermdokzey0,32.66,50.92,75.09,86.35,94.65,99.08,52.84,32.66,50.92,75.09,86.35,94.65,99.08,98.16,98.08,81.36,16,16,1024,0.1,1,0.1,0.015,1,2,16,1,3,0.1,inner,1000,0.2487437725067138,0.2554924488067627,22944
cora_run9e0gcjvh_GCN_Variant_hyperx1o0bvlc,10.33,19.0,39.11,51.66,84.69,91.51,18.55,10.33,19.0,39.11,51.66,84.69,91.51,93.59,92.73,87.45,16,16,1024,0.1,1,0.1,0.001,1,2,16,1,1,0.1,dot,400,0.1161856651306152,0.128648042678833,22961
cora_run9e0gcjvh_GCN_Variant_hyperu37efml2,17.16,40.41,61.44,75.46,86.35,95.57,29.94,17.16,40.41,61.44,75.46,86.35,95.57,96.26,95.95,80.44,16,16,1024,0.1,1,0.1,0.001,1,2,16,1,2,0.1,inner,400,0.1090686321258544,0.1212434768676757,22944
cora_run9e0gcjvh_GCN_Variant_hyperumo6u4p7,23.99,46.68,76.94,93.54,98.15,99.26,49.87,23.99,46.68,76.94,93.54,98.15,99.26,98.55,98.43,94.93,16,16,1024,0.1,1,0.1,0.001,1,2,16,1,2,0.1,dot,400,0.1262266635894775,0.1396734714508056,23233
cora_run9e0gcjvh_GCN_Variant_hyperwys14xzi,17.34,37.45,56.64,76.01,87.45,96.13,30.23,17.34,37.45,56.64,76.01,87.45,96.13,96.29,95.98,79.89,16,16,1024,0.1,1,0.1,0.001,1,2,16,1,3,0.1,inner,400,0.1094038486480712,0.1219027042388916,22944
cora_run9e0gcjvh_GCN_Variant_hyperich5dnu7,16.61,31.37,68.27,88.75,95.57,98.52,36.87,16.61,31.37,68.27,88.75,95.57,98.52,97.84,97.55,93.08,16,16,1024,0.1,1,0.1,0.001,1,2,16,1,3,0.1,dot,400,0.1287386417388916,0.1417946815490722,23505
cora_run9e0gcjvh_GCN_Variant_hyperc1d50ze7,15.13,36.9,59.04,69.93,86.53,95.57,29.21,15.13,36.9,59.04,69.93,86.53,95.57,96.1,95.74,79.98,16,16,1024,0.1,1,0.1,0.001,2,2,64,1,1,0.1,inner,400,0.1106350421905517,0.1229426860809326,22944
cora_run9e0gcjvh_GCN_Variant_hyper2ainsjzy,10.89,18.82,33.58,57.01,74.91,86.9,18.57,10.89,18.82,33.58,57.01,74.91,86.9,92.17,91.58,84.32,16,16,1024,0.1,1,0.1,0.001,2,2,64,1,1,0.1,dot,400,0.1149773597717285,0.1276781558990478,22961
cora_run9e0gcjvh_GCN_Variant_hyperbf855cto,15.87,42.07,59.23,75.28,88.19,95.94,30.6,15.87,42.07,59.23,75.28,88.19,95.94,96.43,96.15,79.89,16,16,1024,0.1,1,0.1,0.001,2,2,64,1,2,0.1,inner,400,0.1088457107543945,0.1212680339813232,22944
cora_run9e0gcjvh_GCN_Variant_hypermnqtxigz,15.87,61.07,83.58,93.54,98.15,99.45,45.7,15.87,61.07,83.58,93.54,98.15,99.45,98.75,98.63,95.76,16,16,1024,0.1,1,0.1,0.001,2,2,64,1,2,0.1,dot,400,0.1230387687683105,0.1354050636291504,24097
cora_run9e0gcjvh_GCN_Variant_hyper402vctda,15.68,41.7,58.12,70.48,88.01,95.94,29.93,15.68,41.7,58.12,70.48,88.01,95.94,96.25,95.93,80.54,16,16,1024,0.1,1,0.1,0.001,2,2,64,1,3,0.1,inner,400,0.1111292839050293,0.1233587265014648,22944
cora_run9e0gcjvh_GCN_Variant_hyper1ozvl06o,48.71,66.42,88.93,96.31,98.89,99.26,62.16,48.71,66.42,88.93,96.31,98.89,99.26,99.27,99.24,96.31,16,16,1024,0.1,1,0.1,0.001,2,2,64,1,3,0.1,dot,400,0.1308052539825439,0.1436398029327392,28257
cora_run9e0gcjvh_GCN_Variant_hyper7nwayj41,14.94,43.36,61.25,75.83,86.9,95.76,31.43,14.94,43.36,61.25,75.83,86.9,95.76,96.5,96.21,79.06,16,16,1024,0.1,1,0.1,0.001,2,2,32,1,1,0.1,inner,400,0.1097323894500732,0.121678352355957,22944
cora_runhs45fwie_GCN_Variant_hyperus2akqya,17.34,37.64,59.04,73.8,85.24,94.83,29.97,17.34,37.64,59.04,73.8,85.24,94.83,95.96,95.64,79.34,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,1,0.1,inner,400,0.109992504119873,0.1220567226409912,22944
cora_runhs45fwie_GCN_Variant_hyperntu5uyad,10.7,14.76,31.73,43.36,71.22,86.53,17.09,10.7,14.76,31.73,43.36,71.22,86.53,91.12,90.21,84.13,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,1,0.1,dot,400,0.1176364421844482,0.1305594444274902,22961
cora_runhs45fwie_GCN_Variant_hyperg20bv7vz,15.13,38.19,59.41,70.85,87.45,95.57,29.35,15.13,38.19,59.41,70.85,87.45,95.57,96.33,95.93,80.44,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,2,0.1,inner,400,0.1100647449493408,0.1222188472747802,22944
cora_runhs45fwie_GCN_Variant_hyperl8dv1o95,32.66,35.98,79.34,93.54,97.79,99.26,43.98,32.66,35.98,79.34,93.54,97.79,99.26,98.5,98.37,95.57,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,2,0.1,dot,400,0.1213853359222412,0.1325955390930175,24097
cora_runhs45fwie_GCN_Variant_hyperjfncy52g,14.76,41.88,59.41,75.83,88.19,95.94,29.7,14.76,41.88,59.41,75.83,88.19,95.94,96.47,96.16,80.72,16,16,1024,0.1,1,0.1,0.015,1,2,64,1,3,0.1,inner,400,0.0921123027801513,0.1042613983154296,22944
