Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,lr
cora_runrdbpczml_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.82,98.9,87.45,160,192,8192,0.04
cora_runizywnaro_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.82,98.9,87.45,160,192,8192,0.1
cora_runv1q8sxcc_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,192,1024,0.02
cora_runwcnft0i9_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.82,98.9,87.45,160,192,16384,0.01
cora_runoxncgi5o_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,192,1024,0.04
cora_runbsw0mrwi_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.97,98.9,87.55,160,192,16384,0.02
cora_run8eczmyxd_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.97,98.9,87.55,160,192,16384,0.04
cora_runzeipyt87_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,192,1024,0.1
cora_runb6vbjxtb_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.97,98.9,87.55,160,192,16384,0.1
cora_run82e3wc09_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.97,98.9,87.55,176,160,1024,0.01
cora_runiu45yyci_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,192,2048,0.01
cora_run31losipo_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.97,98.9,87.55,176,160,1024,0.02
cora_run8m0j4dg5_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.97,98.9,87.55,176,160,1024,0.04
cora_run5tehtnp1_VGAE,39.3,71.59,86.53,93.54,97.6,99.63,55.74,39.3,71.59,86.53,93.54,97.6,99.63,99.14,99.19,89.11,176,192,2048,0.02
cora_runahqitkyr_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.97,98.9,87.55,176,160,1024,0.1
cora_runjevh3wjz_VGAE,69.56,73.43,83.76,92.99,97.97,99.45,74.91,69.56,73.43,83.76,92.99,97.97,99.45,98.97,98.9,87.55,176,160,2048,0.01
