Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,base_lr,batch_size,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,epochs
cora_run9ji736l1_GAT,73.06,81.92,88.01,90.77,91.88,92.07,78.85,73.06,81.92,88.01,90.77,91.88,92.07,96.23,97.44,83.21,0.01,1024,32,32,8,0.2,0.1,5,10000
cora_run1da1keqk_GAT,73.25,82.1,88.01,90.77,91.33,92.44,78.94,73.25,82.1,88.01,90.77,91.33,92.44,96.23,97.51,83.21,0.01,1024,32,32,8,0.1,0.1,5,10000
cora_runjirxg27h_GAT,73.06,81.92,88.01,90.77,91.88,92.07,78.85,73.06,81.92,88.01,90.77,91.88,92.07,96.23,97.44,83.21,0.01,1024,32,32,8,0.2,0.1,6,10000
cora_run3q3m8b2w_GAT,73.25,82.1,88.01,90.77,91.33,92.44,78.94,73.25,82.1,88.01,90.77,91.33,92.44,96.23,97.51,83.21,0.01,1024,32,32,8,0.1,0.1,6,10000
cora_runxtoj6p79_GAT,73.06,81.92,88.01,90.77,91.88,92.07,78.85,73.06,81.92,88.01,90.77,91.88,92.07,96.23,97.44,83.21,0.01,1024,32,32,8,0.2,0.1,7,10000
cora_run56b7quxp_GAT,73.25,82.1,88.01,90.77,91.33,92.44,78.94,73.25,82.1,88.01,90.77,91.33,92.44,96.23,97.51,83.21,0.01,1024,32,32,8,0.1,0.1,7,10000
cora_runsnqp3omt_GAT,73.06,81.92,88.01,90.77,91.88,92.07,78.85,73.06,81.92,88.01,90.77,91.88,92.07,96.23,97.44,83.21,0.01,1024,32,64,4,0.1,0.0,5,10000
cora_runuxm5mtbj_GAT,73.25,82.1,88.01,90.77,91.33,92.44,78.94,73.25,82.1,88.01,90.77,91.33,92.44,96.23,97.5,83.21,0.01,1024,32,32,8,0.2,0.0,5,10000
cora_runnqj6a5qe_GAT,73.06,81.92,88.01,90.77,91.14,92.07,78.85,73.06,81.92,88.01,90.77,91.14,92.07,96.23,97.44,83.21,0.01,1024,32,64,4,0.1,0.0,6,10000
cora_run2r6q1d4f_GAT,73.25,82.1,88.01,90.77,91.33,92.44,78.94,73.25,82.1,88.01,90.77,91.33,92.44,96.23,97.5,83.21,0.01,1024,32,32,8,0.2,0.0,6,10000
cora_runpceyw8zz_GAT,73.06,81.92,88.01,90.77,91.14,92.07,78.85,73.06,81.92,88.01,90.77,91.14,92.07,96.23,97.44,83.21,0.01,1024,32,64,4,0.1,0.0,7,10000
cora_run815rfyn7_GAT,73.25,82.1,88.01,90.77,91.33,92.44,78.94,73.25,82.1,88.01,90.77,91.33,92.44,96.23,97.5,83.21,0.01,1024,32,32,8,0.2,0.0,7,10000
cora_runb1ln7e6o_GAT,73.06,81.92,88.01,90.77,91.14,92.07,78.85,73.06,81.92,88.01,90.77,91.14,92.07,96.23,97.44,82.47,0.01,1024,32,64,4,0.1,0.1,5,10000
cora_run0flpcv4z_GAT,73.25,82.1,88.01,90.77,91.33,92.44,78.94,73.25,82.1,88.01,90.77,91.33,92.44,96.23,97.5,83.21,0.01,1024,32,32,8,0.2,0.1,5,10000
cora_run3datc6yh_GAT,73.06,81.92,88.01,90.77,91.14,92.07,78.85,73.06,81.92,88.01,90.77,91.14,92.07,96.23,97.44,82.47,0.01,1024,32,64,4,0.1,0.1,6,10000
cora_run9rog15ic_GAT,73.25,82.1,88.01,90.77,91.33,92.44,78.94,73.25,82.1,88.01,90.77,91.33,92.44,96.23,97.5,83.21,0.01,1024,32,32,8,0.2,0.1,6,10000
cora_runzt7c0pgg_GAT,73.06,80.44,88.01,90.77,91.14,92.07,78.85,73.06,80.44,88.01,90.77,91.14,92.07,96.23,97.44,82.47,0.01,1024,32,64,4,0.1,0.1,7,10000
cora_runepgbazbp_GAT,73.25,82.1,88.01,90.77,91.33,92.44,78.94,73.25,82.1,88.01,90.77,91.33,92.44,96.23,97.5,83.21,0.01,1024,32,32,8,0.2,0.1,7,10000
cora_runnroscwtj_GAT,73.06,80.44,88.01,90.77,91.14,92.07,78.85,73.06,80.44,88.01,90.77,91.14,92.07,96.83,97.56,82.47,0.01,1024,32,64,4,0.2,0.0,5,10000
cora_runrld51d0s_GAT,73.25,82.1,88.01,90.77,91.33,92.44,78.94,73.25,82.1,88.01,90.77,91.33,92.44,96.23,97.5,83.21,0.01,1024,32,64,4,0.1,0.0,5,10000
cora_run0stc13gf_GAT,73.06,80.44,88.01,90.77,91.14,92.07,78.85,73.06,80.44,88.01,90.77,91.14,92.07,96.83,97.56,82.47,0.01,1024,32,64,4,0.2,0.0,6,10000
