Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,base_lr,batch_size,epochs
cora_run4a6ujv8x_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,128,64,0.01,8192,10000
cora_runrunim9wo_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.31,32,256,0.015,1024,10000
cora_run7ct5t2u6_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.86,128,128,0.01,8192,10000
cora_run7n9zkk89_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,95.11,128,256,0.01,8192,10000
cora_run3k4f67sd_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.31,64,32,0.015,1024,10000
cora_run1r4j94yl_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,95.11,256,32,0.01,8192,10000
cora_run573u9n8g_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,95.11,256,64,0.01,8192,10000
cora_run214feu1a_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,95.11,256,128,0.01,8192,10000
cora_runr4x75byd_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.31,64,64,0.015,1024,10000
cora_runm1z9y5p8_GAE,88.75,96.49,96.86,97.23,98.15,99.08,90.34,88.75,96.49,96.86,97.23,98.15,99.08,99.31,99.5,96.31,256,256,0.01,8192,10000
cora_run4bmz1kyr_GAE,92.44,95.39,96.86,97.42,97.79,99.08,93.5,92.44,95.39,96.86,97.42,97.79,99.08,99.41,99.34,96.31,64,128,0.015,1024,10000
