Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size_sampler,walk_length,num_steps,sample_coverage,epochs,batch_size
cora_runh01a504e_GAE,38.55,71.72,91.26,99.82,100.0,100.0,56.27,38.55,71.72,91.26,99.82,100.0,100.0,93.24,96.91,87.0,16,16,128,10,10,50,50,16.0
cora_runnjjyohcq_GAE,38.55,71.72,91.26,99.82,100.0,100.0,56.27,38.55,71.72,91.26,99.82,100.0,100.0,93.24,96.91,87.0,16,16,128,10,10,100,50,16.0
cora_runhy8afhqg_GAE,38.55,71.72,91.26,99.82,100.0,100.0,56.27,38.55,71.72,91.26,99.82,100.0,100.0,93.24,96.91,87.0,16,16,128,10,10,150,50,16.0
cora_run23iyq74s_GAE,38.55,71.72,91.26,99.82,100.0,100.0,56.27,38.55,71.72,91.26,99.82,100.0,100.0,93.24,96.91,87.0,16,16,128,10,10,200,50,16.0
cora_run4zu2g2k2_GAE,38.55,71.72,91.26,99.82,100.0,100.0,56.27,38.55,71.72,91.26,99.82,100.0,100.0,93.24,96.91,87.0,16,16,128,10,20,50,50,16.0
cora_runap5wtnyi_GAE,38.55,71.72,91.26,99.82,100.0,100.0,56.27,38.55,71.72,91.26,99.82,100.0,100.0,93.24,96.91,87.0,16,16,128,10,20,100,50,16.0
cora_runoy9aeww3_GAE,38.55,71.72,91.26,99.82,100.0,100.0,56.27,38.55,71.72,91.26,99.82,100.0,100.0,93.24,96.91,87.0,16,16,128,10,20,150,50,16.0
cora_rungmjtoekd_GAE,38.55,67.85,91.26,99.82,100.0,100.0,56.27,38.55,67.85,91.26,99.82,100.0,100.0,92.62,96.91,87.0,16,16,128,10,20,200,50,16.0
cora_runidag5ci4_GAE,38.55,67.85,91.26,99.82,100.0,100.0,56.27,38.55,67.85,91.26,99.82,100.0,100.0,92.62,96.91,87.0,16,16,128,10,30,50,50,16.0
cora_runjsjur211_GAE,38.55,67.85,91.26,99.82,100.0,100.0,56.27,38.55,67.85,91.26,99.82,100.0,100.0,92.62,96.91,87.0,16,16,128,10,30,100,50,16.0
cora_runwn0lumbn_GAE,38.55,67.85,91.26,99.82,100.0,100.0,56.27,38.55,67.85,91.26,99.82,100.0,100.0,92.62,96.91,87.0,16,16,128,10,30,150,50,16.0
cora_runvllxniga_GAE,38.55,67.85,91.26,99.82,100.0,100.0,56.27,38.55,67.85,91.26,99.82,100.0,100.0,92.62,96.91,87.0,16,16,128,10,30,200,50,16.0
cora_runo01qu4tq_GAE,38.55,67.85,91.26,99.82,100.0,100.0,56.27,38.55,67.85,91.26,99.82,100.0,100.0,92.62,96.91,87.0,16,16,128,20,5,50,50,16.0
cora_run9giwdeu8_GAE,38.55,67.85,91.26,99.82,100.0,100.0,56.27,38.55,67.85,91.26,99.82,100.0,100.0,91.49,96.91,87.0,16,16,128,20,5,100,50,16.0
cora_runwixsp4me_GAE,38.55,67.85,91.26,99.82,100.0,100.0,56.27,38.55,67.85,91.26,99.82,100.0,100.0,91.49,96.91,87.0,16,16,128,20,5,150,50,16.0
cora_runj4kjpx4d_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.07,96.91,87.0,16,16,128,20,5,200,50,16.0
cora_runs5uucxwr_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.07,96.91,87.0,16,16,128,20,10,50,50,16.0
cora_runjjke7c8y_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.07,96.91,87.0,16,16,128,20,10,100,50,16.0
cora_runsi6qubzs_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.07,96.91,87.0,16,16,128,20,10,150,50,16.0
cora_run1ap02ahx_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.07,96.91,87.0,16,16,128,20,10,200,50,16.0
cora_runtct19i74_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,20,20,50,50,16.0
cora_run9g4uca6o_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,20,20,100,50,16.0
cora_run5mmyygl8_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,20,20,150,50,16.0
cora_runq482zjrw_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,20,20,200,50,16.0
cora_runs7k8lq6u_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,20,30,50,50,16.0
cora_runfcsfasrf_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,20,30,100,50,16.0
cora_run1kqrswwp_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,20,30,150,50,16.0
cora_run3wwd3wsv_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,20,30,200,50,16.0
cora_runiccy3xp6_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,30,5,50,50,16.0
cora_runvhiua79c_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,30,5,100,50,16.0
cora_runnvl19d36_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,30,5,150,50,16.0
cora_runkb4hem0f_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,30,5,200,50,16.0
cora_run3xkr35xs_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,30,10,50,50,16.0
cora_runcv0joq62_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,30,10,100,50,16.0
cora_runiqb8nxl5_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,30,10,150,50,16.0
cora_run7ito5vji_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,30,10,200,50,16.0
cora_run76pn1djv_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,30,20,50,50,16.0
cora_run46qmmgjb_GAE,36.23,67.85,91.26,99.82,100.0,100.0,56.27,36.23,67.85,91.26,99.82,100.0,100.0,92.24,96.91,87.0,16,16,128,30,20,100,50,16.0
