Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc
cora_f3vrocdw_GAE,6.10 ± nan,8.89 ± nan,19.58 ± nan,33.84 ± nan,53.83 ± nan,70.36 ± nan,10.74 ± nan,6.10 ± nan,8.89 ± nan,19.58 ± nan,33.84 ± nan,53.83 ± nan,70.36 ± nan,98.69 ± nan,98.35 ± nan,78.21 ± nan
cora_b0skhiak_GAE,6.10 ± nan,8.91 ± nan,19.57 ± nan,33.86 ± nan,53.78 ± nan,70.34 ± nan,10.73 ± nan,6.10 ± nan,8.91 ± nan,19.57 ± nan,33.86 ± nan,53.78 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.20 ± nan
cora_wudyjrvo_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.78 ± nan,53.79 ± nan,70.34 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.78 ± nan,53.79 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.21 ± nan
cora_f16co1uu_GAE,6.10 ± nan,8.89 ± nan,19.58 ± nan,33.64 ± nan,53.76 ± nan,70.25 ± nan,10.74 ± nan,6.10 ± nan,8.89 ± nan,19.58 ± nan,33.64 ± nan,53.76 ± nan,70.25 ± nan,98.69 ± nan,98.35 ± nan,78.19 ± nan
cora_hdlczwls_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.78 ± nan,53.79 ± nan,70.34 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.78 ± nan,53.79 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.21 ± nan
cora_3g04it14_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.79 ± nan,70.34 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.79 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.21 ± nan
cora_gqqcwtb2_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.79 ± nan,70.34 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.79 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.21 ± nan
cora_556tymst_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.82 ± nan,53.76 ± nan,70.36 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.82 ± nan,53.76 ± nan,70.36 ± nan,98.69 ± nan,98.35 ± nan,78.20 ± nan
cora_opna8ltn_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.79 ± nan,70.34 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.79 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.21 ± nan
cora_5u5prqof_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.79 ± nan,70.34 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.79 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.21 ± nan
cora_io6ca4z0_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.82 ± nan,53.76 ± nan,70.36 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.82 ± nan,53.76 ± nan,70.36 ± nan,98.69 ± nan,98.35 ± nan,78.20 ± nan
cora_m0degip6_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.76 ± nan,70.36 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.79 ± nan,53.76 ± nan,70.36 ± nan,98.69 ± nan,98.35 ± nan,78.20 ± nan
cora_56ciwlxx_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.78 ± nan,53.79 ± nan,70.34 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.78 ± nan,53.79 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.21 ± nan
cora_1qdzqiyo_GAE,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.78 ± nan,53.79 ± nan,70.34 ± nan,10.74 ± nan,6.11 ± nan,8.89 ± nan,19.54 ± nan,33.78 ± nan,53.79 ± nan,70.34 ± nan,98.69 ± nan,98.35 ± nan,78.21 ± nan
