Metric,Hits@1,Hits@3,Hits@10,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit100,AUC,AP,acc
cora_t7behpiv_GAT,0.2395,0.4487,0.5817,0.7643,0.3648,0.2395,0.4487,0.5817,0.7643,0.8361,0.8742,0.76806
cora_vbgeyqnv_GAT,0.4297,0.4563,0.5856,0.8061,0.4761,0.4297,0.4563,0.5856,0.8061,0.8599,0.8903,0.78137
cora_ph8ybak7_GAT,0.3688,0.3764,0.5894,0.7909,0.4234,0.3688,0.3764,0.5894,0.7909,0.8458,0.8814,0.75856
cora_8ozpo6fk_GAT,0.2928,0.4525,0.6046,0.7947,0.4039,0.2928,0.4525,0.6046,0.7947,0.8519,0.8858,0.77757
cora_jacqmhwm_GAT,0.3422,0.4449,0.5817,0.7947,0.4162,0.3422,0.4449,0.5817,0.7947,0.8537,0.8857,0.77186
cora_3uy2bjyr_GAT,0.2586,0.4525,0.597,0.7833,0.3783,0.2586,0.4525,0.597,0.7833,0.8543,0.8846,0.77376
cora_idrrma9a_GAT,0.3156,0.4411,0.5665,0.7871,0.4047,0.3156,0.4411,0.5665,0.7871,0.8496,0.8842,0.77567
cora_m9ibmc2s_GAT,0.3384,0.4449,0.5779,0.7871,0.4178,0.3384,0.4449,0.5779,0.7871,0.8409,0.8782,0.75856
cora_uqsk46zx_GAT,0.4068,0.4487,0.5627,0.8023,0.4531,0.4068,0.4487,0.5627,0.8023,0.8499,0.8813,0.75856
cora_0tysthn7_GAT,0.346,0.3688,0.5589,0.8061,0.4007,0.346,0.3688,0.5589,0.8061,0.8552,0.8853,0.78517
cora_wz42gf6k_GAT,0.3612,0.4943,0.5779,0.7833,0.451,0.3612,0.4943,0.5779,0.7833,0.8445,0.8821,0.76806
Best,0.5209,0.5551,0.7186,0.9544,0.5657,0.5209,0.5551,0.7186,0.9544,0.9179,0.9328,0.84601
