Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc
cora_dcmkfhta_gae,0.2928,0.4601,0.5703,0.654,0.8479,0.9278,0.3999,0.2928,0.4601,0.5703,0.654,0.8479,0.9278,0.8894,0.9079,0.80418
cora_96da0x9y_gae,0.2624,0.4601,0.5399,0.6502,0.8403,0.9125,0.389,0.2624,0.4601,0.5399,0.6502,0.8403,0.9125,0.8912,0.9084,0.80228
cora_rur7suu7_gae,0.2624,0.4601,0.5399,0.6502,0.8403,0.9125,0.389,0.2624,0.4601,0.5399,0.6502,0.8403,0.9125,0.8912,0.9084,0.80228
cora_ssfmswsj_gae,0.2776,0.4563,0.5437,0.6616,0.8517,0.9163,0.3884,0.2776,0.4563,0.5437,0.6616,0.8517,0.9163,0.8908,0.9083,0.80608
cora_3n15jtw0_gae,0.27,0.4639,0.5399,0.6502,0.8403,0.9125,0.3937,0.27,0.4639,0.5399,0.6502,0.8403,0.9125,0.8913,0.9087,0.80608
cora_4tdauq6w_gae,0.2548,0.4373,0.5551,0.6616,0.8517,0.924,0.3785,0.2548,0.4373,0.5551,0.6616,0.8517,0.924,0.892,0.909,0.80798
cora_4m43ru06_gae,0.2624,0.4601,0.5437,0.6502,0.8403,0.9125,0.3891,0.2624,0.4601,0.5437,0.6502,0.8403,0.9125,0.8914,0.9086,0.80608
cora_qnbaia51_gae,0.27,0.4563,0.5627,0.6426,0.8479,0.924,0.3873,0.27,0.4563,0.5627,0.6426,0.8479,0.924,0.8891,0.9075,0.80038
cora_0o8tlt1y_gae,0.2586,0.4525,0.5665,0.6654,0.8517,0.924,0.382,0.2586,0.4525,0.5665,0.6654,0.8517,0.924,0.8914,0.9097,0.79848
cora_mztlysgw_gae,0.2624,0.4525,0.5779,0.654,0.8517,0.924,0.3871,0.2624,0.4525,0.5779,0.654,0.8517,0.924,0.8929,0.9109,0.80418
cora_acujkz3k_gae,0.2738,0.4563,0.5513,0.6654,0.8479,0.9202,0.3883,0.2738,0.4563,0.5513,0.6654,0.8479,0.9202,0.8923,0.9094,0.80798
cora_w2zq8wvh_gae,0.2662,0.4639,0.5399,0.6502,0.8403,0.9163,0.3913,0.2662,0.4639,0.5399,0.6502,0.8403,0.9163,0.8914,0.9087,0.80418
cora_y6x0hgrz_gae,0.2662,0.4639,0.5399,0.6502,0.8403,0.9163,0.3913,0.2662,0.4639,0.5399,0.6502,0.8403,0.9163,0.8914,0.9087,0.80418
cora_zkna66su_gae,0.251,0.4563,0.5741,0.6578,0.8479,0.9163,0.3802,0.251,0.4563,0.5741,0.6578,0.8479,0.9163,0.8904,0.9087,0.79848
cora_79npq19l_gae,0.2319,0.4601,0.5551,0.6578,0.8479,0.9202,0.375,0.2319,0.4601,0.5551,0.6578,0.8479,0.9202,0.8915,0.909,0.79658
cora_5tk6ch80_gae,0.2776,0.4525,0.5741,0.6616,0.8479,0.9202,0.3942,0.2776,0.4525,0.5741,0.6616,0.8479,0.9202,0.8915,0.9101,0.80228
cora_b8abik2p_gae,0.2548,0.4601,0.5551,0.6654,0.8555,0.924,0.38,0.2548,0.4601,0.5551,0.6654,0.8555,0.924,0.893,0.9109,0.82129
cora_rtqifiby_gae,0.2738,0.4753,0.5741,0.654,0.8479,0.9278,0.3934,0.2738,0.4753,0.5741,0.654,0.8479,0.9278,0.8931,0.9105,0.81179
cora_s9m7um87_gae,0.27,0.4639,0.5399,0.6502,0.8403,0.9125,0.3937,0.27,0.4639,0.5399,0.6502,0.8403,0.9125,0.8913,0.9087,0.80608
cora_527tzmz5_gae,0.2624,0.4601,0.5399,0.6502,0.8403,0.9125,0.389,0.2624,0.4601,0.5399,0.6502,0.8403,0.9125,0.8912,0.9084,0.80228
cora_pav4cqxn_gae,0.2586,0.4639,0.5551,0.6502,0.8517,0.9202,0.3824,0.2586,0.4639,0.5551,0.6502,0.8517,0.9202,0.8887,0.9074,0.80418
cora_296h43bd_gae,0.2662,0.4639,0.5399,0.6502,0.8403,0.9163,0.3913,0.2662,0.4639,0.5399,0.6502,0.8403,0.9163,0.8914,0.9087,0.80418
cora_606hpfk5_gae,0.2662,0.4639,0.5399,0.6502,0.8403,0.9163,0.3913,0.2662,0.4639,0.5399,0.6502,0.8403,0.9163,0.8914,0.9087,0.80418
cora_g1s6dma5_gae,0.2624,0.4601,0.5399,0.6502,0.8403,0.9125,0.39,0.2624,0.4601,0.5399,0.6502,0.8403,0.9125,0.8912,0.9085,0.80228
cora_ggt9i13e_gae,0.2548,0.4677,0.5703,0.6616,0.8441,0.9202,0.3855,0.2548,0.4677,0.5703,0.6616,0.8441,0.9202,0.8926,0.9099,0.80228
cora_ygemd0ht_gae,0.2624,0.4601,0.5399,0.6502,0.8403,0.9125,0.389,0.2624,0.4601,0.5399,0.6502,0.8403,0.9125,0.8912,0.9084,0.80228
cora_dw8jm8mr_gae,0.2319,0.4601,0.5437,0.6502,0.8479,0.9202,0.3748,0.2319,0.4601,0.5437,0.6502,0.8479,0.9202,0.8915,0.9089,0.79848
cora_eqceb1fh_gae,0.2814,0.4639,0.5779,0.6578,0.8517,0.9202,0.3953,0.2814,0.4639,0.5779,0.6578,0.8517,0.9202,0.8906,0.9099,0.79848
cora_dtu409in_gae,0.27,0.4639,0.5399,0.6502,0.8403,0.9125,0.3937,0.27,0.4639,0.5399,0.6502,0.8403,0.9125,0.8913,0.9087,0.80608
cora_lvoljvwa_gae,0.3004,0.4715,0.5589,0.6616,0.8479,0.924,0.4093,0.3004,0.4715,0.5589,0.6616,0.8479,0.924,0.8915,0.9102,0.79848
cora_c4qie0rs_gae,0.2357,0.4715,0.5741,0.6578,0.8479,0.9163,0.3746,0.2357,0.4715,0.5741,0.6578,0.8479,0.9163,0.8914,0.9095,0.80038
cora_q88qvkaz_gae,0.27,0.4639,0.5399,0.6502,0.8403,0.9125,0.3937,0.27,0.4639,0.5399,0.6502,0.8403,0.9125,0.8913,0.9087,0.80608
cora_uo6tn4xu_gae,0.2814,0.4297,0.5361,0.6578,0.8517,0.924,0.3894,0.2814,0.4297,0.5361,0.6578,0.8517,0.924,0.89,0.9078,0.80608
cora_scdk309t_gae,0.2814,0.4525,0.5741,0.6616,0.8517,0.924,0.3943,0.2814,0.4525,0.5741,0.6616,0.8517,0.924,0.8938,0.9117,0.80418
cora_1tjo60p0_gae,0.2319,0.4677,0.5779,0.6616,0.8479,0.9202,0.3726,0.2319,0.4677,0.5779,0.6616,0.8479,0.9202,0.8925,0.9099,0.80228
cora_6bory4cr_gae,0.2586,0.4449,0.5437,0.654,0.8479,0.9163,0.3781,0.2586,0.4449,0.5437,0.654,0.8479,0.9163,0.8877,0.9058,0.79658
cora_r3u9sj97_gae,0.2776,0.4525,0.5703,0.654,0.8479,0.924,0.3933,0.2776,0.4525,0.5703,0.654,0.8479,0.924,0.8931,0.9109,0.80228
cora_ks8o3adw_gae,0.2662,0.4601,0.5665,0.654,0.8403,0.9163,0.3858,0.2662,0.4601,0.5665,0.654,0.8403,0.9163,0.8921,0.909,0.80798
cora_de0r3npd_gae,0.27,0.4639,0.5399,0.6502,0.8403,0.9125,0.3936,0.27,0.4639,0.5399,0.6502,0.8403,0.9125,0.8912,0.9085,0.80608
cora_yq19busv_gae,0.2662,0.4639,0.5399,0.6502,0.8403,0.9163,0.3913,0.2662,0.4639,0.5399,0.6502,0.8403,0.9163,0.8914,0.9087,0.80418
cora_6ahvtht5_gae,0.251,0.4259,0.5475,0.6578,0.8479,0.9087,0.3727,0.251,0.4259,0.5475,0.6578,0.8479,0.9087,0.8871,0.9063,0.80228
cora_jvr7vyks_gae,0.2586,0.4563,0.5741,0.6654,0.8517,0.9163,0.3863,0.2586,0.4563,0.5741,0.6654,0.8517,0.9163,0.8923,0.9106,0.79278
cora_yip0nr5q_gae,0.251,0.4601,0.5817,0.6616,0.8479,0.924,0.3808,0.251,0.4601,0.5817,0.6616,0.8479,0.924,0.8922,0.9103,0.80228
cora_gc7p0m4f_gae,0.2852,0.4563,0.5589,0.6502,0.8403,0.9316,0.3978,0.2852,0.4563,0.5589,0.6502,0.8403,0.9316,0.8929,0.9098,0.80989
cora_nl9czj2o_gae,0.2548,0.4487,0.5589,0.6502,0.8479,0.924,0.384,0.2548,0.4487,0.5589,0.6502,0.8479,0.924,0.8929,0.9099,0.80228
cora_321ir898_gae,0.2319,0.4601,0.5627,0.6578,0.8479,0.9163,0.3715,0.2319,0.4601,0.5627,0.6578,0.8479,0.9163,0.8903,0.9084,0.79468
cora_0yajt6bc_gae,0.2319,0.4639,0.5551,0.6616,0.8517,0.9202,0.3752,0.2319,0.4639,0.5551,0.6616,0.8517,0.9202,0.8914,0.909,0.79658
cora_evwixw7a_gae,0.2357,0.4715,0.5665,0.6578,0.8479,0.9163,0.3744,0.2357,0.4715,0.5665,0.6578,0.8479,0.9163,0.8894,0.908,0.79278
cora_0bzo0onh_gae,0.2548,0.4563,0.5665,0.6464,0.8479,0.9202,0.3807,0.2548,0.4563,0.5665,0.6464,0.8479,0.9202,0.889,0.9072,0.80038
cora_js1d2a4c_gae,0.27,0.4639,0.5399,0.6502,0.8403,0.9125,0.3937,0.27,0.4639,0.5399,0.6502,0.8403,0.9125,0.8912,0.9086,0.80608
cora_nf1wx0f8_gae,0.2738,0.4639,0.5399,0.6502,0.8403,0.9163,0.3944,0.2738,0.4639,0.5399,0.6502,0.8403,0.9163,0.8913,0.9087,0.80228
