Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc
pubmed_lygkhda4_GAE,1.67 ± nan,4.61 ± nan,7.88 ± nan,19.66 ± nan,31.87 ± nan,48.74 ± nan,5.57 ± nan,1.67 ± nan,4.61 ± nan,7.88 ± nan,19.66 ± nan,31.87 ± nan,48.74 ± nan,99.71 ± nan,99.60 ± nan,80.29 ± nan
pubmed_ua0xc7sq_GAE,1.79 ± nan,5.53 ± nan,8.20 ± nan,19.67 ± nan,32.76 ± nan,48.46 ± nan,5.50 ± nan,1.79 ± nan,5.53 ± nan,8.20 ± nan,19.67 ± nan,32.76 ± nan,48.46 ± nan,99.71 ± nan,99.60 ± nan,80.37 ± nan
pubmed_o5wpyjp8_GAE,1.81 ± nan,4.28 ± nan,7.94 ± nan,19.73 ± nan,31.73 ± nan,48.70 ± nan,5.47 ± nan,1.81 ± nan,4.28 ± nan,7.94 ± nan,19.73 ± nan,31.73 ± nan,48.70 ± nan,99.71 ± nan,99.60 ± nan,80.05 ± nan
pubmed_bdtco5h1_GAE,1.82 ± nan,5.21 ± nan,7.77 ± nan,19.46 ± nan,32.09 ± nan,48.01 ± nan,5.56 ± nan,1.82 ± nan,5.21 ± nan,7.77 ± nan,19.46 ± nan,32.09 ± nan,48.01 ± nan,99.71 ± nan,99.60 ± nan,80.33 ± nan
pubmed_g6zbeca1_GAE,1.61 ± nan,5.96 ± nan,8.35 ± nan,18.29 ± nan,33.28 ± nan,49.13 ± nan,5.96 ± nan,1.61 ± nan,5.96 ± nan,8.35 ± nan,18.29 ± nan,33.28 ± nan,49.13 ± nan,99.71 ± nan,99.60 ± nan,80.11 ± nan
pubmed_uo1fbd7v_GAE,1.81 ± nan,5.56 ± nan,8.45 ± nan,18.83 ± nan,29.95 ± nan,49.73 ± nan,5.72 ± nan,1.81 ± nan,5.56 ± nan,8.45 ± nan,18.83 ± nan,29.95 ± nan,49.73 ± nan,99.71 ± nan,99.61 ± nan,79.57 ± nan
pubmed_4tu9yu2g_GAE,1.64 ± nan,4.70 ± nan,8.32 ± nan,19.63 ± nan,32.07 ± nan,48.86 ± nan,5.59 ± nan,1.64 ± nan,4.70 ± nan,8.32 ± nan,19.63 ± nan,32.07 ± nan,48.86 ± nan,99.71 ± nan,99.60 ± nan,80.42 ± nan
pubmed_6z0vy0s4_GAE,1.79 ± nan,5.73 ± nan,8.79 ± nan,14.97 ± nan,33.37 ± nan,49.81 ± nan,5.67 ± nan,1.79 ± nan,5.73 ± nan,8.79 ± nan,14.97 ± nan,33.37 ± nan,49.81 ± nan,99.71 ± nan,99.61 ± nan,79.51 ± nan
pubmed_517qpv9t_GAE,1.65 ± nan,5.04 ± nan,8.51 ± nan,18.52 ± nan,32.38 ± nan,47.90 ± nan,5.67 ± nan,1.65 ± nan,5.04 ± nan,8.51 ± nan,18.52 ± nan,32.38 ± nan,47.90 ± nan,99.71 ± nan,99.61 ± nan,79.49 ± nan
pubmed_fc8br6rb_GAE,1.82 ± nan,5.20 ± nan,8.62 ± nan,18.33 ± nan,32.59 ± nan,48.61 ± nan,5.45 ± nan,1.82 ± nan,5.20 ± nan,8.62 ± nan,18.33 ± nan,32.59 ± nan,48.61 ± nan,99.71 ± nan,99.60 ± nan,80.09 ± nan
pubmed_xilkj9xx_GAE,1.82 ± nan,5.51 ± nan,7.66 ± nan,17.79 ± nan,31.40 ± nan,48.53 ± nan,5.59 ± nan,1.82 ± nan,5.51 ± nan,7.66 ± nan,17.79 ± nan,31.40 ± nan,48.53 ± nan,99.71 ± nan,99.60 ± nan,80.35 ± nan
pubmed_erwei1so_GAE,1.81 ± nan,5.56 ± nan,8.34 ± nan,18.65 ± nan,30.57 ± nan,49.96 ± nan,5.74 ± nan,1.81 ± nan,5.56 ± nan,8.34 ± nan,18.65 ± nan,30.57 ± nan,49.96 ± nan,99.71 ± nan,99.61 ± nan,79.53 ± nan
pubmed_c3sps8jw_GAE,1.81 ± nan,4.98 ± nan,8.80 ± nan,18.78 ± nan,30.14 ± nan,49.46 ± nan,5.61 ± nan,1.81 ± nan,4.98 ± nan,8.80 ± nan,18.78 ± nan,30.14 ± nan,49.46 ± nan,99.70 ± nan,99.61 ± nan,79.52 ± nan
pubmed_xa784eog_GAE,1.86 ± nan,4.78 ± nan,7.71 ± nan,20.12 ± nan,31.64 ± nan,48.17 ± nan,5.63 ± nan,1.86 ± nan,4.78 ± nan,7.71 ± nan,20.12 ± nan,31.64 ± nan,48.17 ± nan,99.71 ± nan,99.60 ± nan,79.97 ± nan
pubmed_8rdrj90k_GAE,1.80 ± nan,4.02 ± nan,8.57 ± nan,19.49 ± nan,31.37 ± nan,48.05 ± nan,5.42 ± nan,1.80 ± nan,4.02 ± nan,8.57 ± nan,19.49 ± nan,31.37 ± nan,48.05 ± nan,99.71 ± nan,99.60 ± nan,80.42 ± nan
pubmed_7sphojjq_GAE,2.22 ± nan,7.55 ± nan,11.87 ± nan,17.04 ± nan,29.61 ± nan,44.69 ± nan,5.31 ± nan,2.22 ± nan,7.55 ± nan,11.87 ± nan,17.04 ± nan,29.61 ± nan,44.69 ± nan,99.68 ± nan,99.56 ± nan,79.33 ± nan
pubmed_9mw2x1et_GAE,1.61 ± nan,4.24 ± nan,8.43 ± nan,15.46 ± nan,32.31 ± nan,48.63 ± nan,5.44 ± nan,1.61 ± nan,4.24 ± nan,8.43 ± nan,15.46 ± nan,32.31 ± nan,48.63 ± nan,99.71 ± nan,99.61 ± nan,79.58 ± nan
pubmed_5y58okal_GAE,1.82 ± nan,5.70 ± nan,7.66 ± nan,19.58 ± nan,31.99 ± nan,48.23 ± nan,5.55 ± nan,1.82 ± nan,5.70 ± nan,7.66 ± nan,19.58 ± nan,31.99 ± nan,48.23 ± nan,99.71 ± nan,99.60 ± nan,80.30 ± nan
pubmed_vjfb28gw_GAE,1.63 ± nan,5.36 ± nan,8.40 ± nan,18.48 ± nan,33.18 ± nan,49.21 ± nan,5.70 ± nan,1.63 ± nan,5.36 ± nan,8.40 ± nan,18.48 ± nan,33.18 ± nan,49.21 ± nan,99.71 ± nan,99.61 ± nan,80.01 ± nan
pubmed_48c5fnk1_GAE,0.28 ± nan,2.08 ± nan,6.04 ± nan,10.19 ± nan,19.00 ± nan,27.23 ± nan,2.93 ± nan,0.28 ± nan,2.08 ± nan,6.04 ± nan,10.19 ± nan,19.00 ± nan,27.23 ± nan,98.99 ± nan,98.73 ± nan,78.41 ± nan
pubmed_xyhyb8w7_GAE,0.82 ± nan,3.52 ± nan,6.49 ± nan,9.55 ± nan,18.83 ± nan,28.01 ± nan,3.77 ± nan,0.82 ± nan,3.52 ± nan,6.49 ± nan,9.55 ± nan,18.83 ± nan,28.01 ± nan,98.98 ± nan,98.72 ± nan,78.44 ± nan
pubmed_ohjbhr5m_GAE,0.82 ± nan,3.50 ± nan,6.45 ± nan,9.53 ± nan,18.80 ± nan,27.84 ± nan,3.77 ± nan,0.82 ± nan,3.50 ± nan,6.45 ± nan,9.53 ± nan,18.80 ± nan,27.84 ± nan,98.98 ± nan,98.72 ± nan,78.44 ± nan
pubmed_onz5rsrc_GAE,0.82 ± nan,3.52 ± nan,6.49 ± nan,9.55 ± nan,18.86 ± nan,27.97 ± nan,3.77 ± nan,0.82 ± nan,3.52 ± nan,6.49 ± nan,9.55 ± nan,18.86 ± nan,27.97 ± nan,98.98 ± nan,98.72 ± nan,78.44 ± nan
pubmed_3knx55uu_GAE,0.82 ± nan,3.51 ± nan,6.50 ± nan,9.54 ± nan,18.88 ± nan,27.99 ± nan,3.77 ± nan,0.82 ± nan,3.51 ± nan,6.50 ± nan,9.54 ± nan,18.88 ± nan,27.99 ± nan,98.98 ± nan,98.72 ± nan,78.43 ± nan
pubmed_omlozkei_GAE,0.81 ± nan,3.50 ± nan,6.44 ± nan,9.54 ± nan,18.81 ± nan,27.84 ± nan,3.77 ± nan,0.81 ± nan,3.50 ± nan,6.44 ± nan,9.54 ± nan,18.81 ± nan,27.84 ± nan,98.98 ± nan,98.72 ± nan,78.45 ± nan
pubmed_oxpgg643_GAE,0.82 ± nan,3.51 ± nan,6.49 ± nan,9.55 ± nan,18.86 ± nan,27.88 ± nan,3.77 ± nan,0.82 ± nan,3.51 ± nan,6.49 ± nan,9.55 ± nan,18.86 ± nan,27.88 ± nan,98.98 ± nan,98.72 ± nan,78.43 ± nan
pubmed_68by2w45_GAE,0.82 ± nan,3.50 ± nan,6.45 ± nan,9.53 ± nan,18.79 ± nan,27.81 ± nan,3.77 ± nan,0.82 ± nan,3.50 ± nan,6.45 ± nan,9.53 ± nan,18.79 ± nan,27.81 ± nan,98.98 ± nan,98.72 ± nan,78.43 ± nan
pubmed_2war2eq9_GAE,0.82 ± nan,3.52 ± nan,6.47 ± nan,9.54 ± nan,18.83 ± nan,27.74 ± nan,3.77 ± nan,0.82 ± nan,3.52 ± nan,6.47 ± nan,9.54 ± nan,18.83 ± nan,27.74 ± nan,98.98 ± nan,98.72 ± nan,78.44 ± nan
pubmed_3x0uni38_GAE,0.82 ± nan,3.51 ± nan,6.50 ± nan,9.54 ± nan,18.88 ± nan,28.00 ± nan,3.77 ± nan,0.82 ± nan,3.51 ± nan,6.50 ± nan,9.54 ± nan,18.88 ± nan,28.00 ± nan,98.98 ± nan,98.72 ± nan,78.44 ± nan
pubmed_af6x4npr_GAE,0.81 ± nan,3.50 ± nan,6.45 ± nan,9.56 ± nan,18.82 ± nan,27.82 ± nan,3.77 ± nan,0.81 ± nan,3.50 ± nan,6.45 ± nan,9.56 ± nan,18.82 ± nan,27.82 ± nan,98.98 ± nan,98.72 ± nan,78.45 ± nan
pubmed_rhbrtf92_GAE,0.82 ± nan,3.51 ± nan,6.50 ± nan,9.55 ± nan,18.88 ± nan,28.07 ± nan,3.77 ± nan,0.82 ± nan,3.51 ± nan,6.50 ± nan,9.55 ± nan,18.88 ± nan,28.07 ± nan,98.98 ± nan,98.72 ± nan,78.44 ± nan
pubmed_tfaq8wro_GAE,0.82 ± nan,3.50 ± nan,6.46 ± nan,9.54 ± nan,18.82 ± nan,27.88 ± nan,3.77 ± nan,0.82 ± nan,3.50 ± nan,6.46 ± nan,9.54 ± nan,18.82 ± nan,27.88 ± nan,98.98 ± nan,98.72 ± nan,78.44 ± nan
pubmed_knq8vmjx_GAE,0.82 ± nan,3.51 ± nan,6.44 ± nan,9.53 ± nan,18.79 ± nan,27.78 ± nan,3.77 ± nan,0.82 ± nan,3.51 ± nan,6.44 ± nan,9.53 ± nan,18.79 ± nan,27.78 ± nan,98.98 ± nan,98.72 ± nan,78.44 ± nan
pubmed_9yk5vfi2_GAE,0.82 ± nan,3.51 ± nan,6.49 ± nan,9.53 ± nan,18.85 ± nan,28.00 ± nan,3.77 ± nan,0.82 ± nan,3.51 ± nan,6.49 ± nan,9.53 ± nan,18.85 ± nan,28.00 ± nan,98.98 ± nan,98.72 ± nan,78.45 ± nan
pubmed_tl91g573_GAE,0.82 ± nan,3.50 ± nan,6.45 ± nan,9.53 ± nan,18.79 ± nan,27.81 ± nan,3.77 ± nan,0.82 ± nan,3.50 ± nan,6.45 ± nan,9.53 ± nan,18.79 ± nan,27.81 ± nan,98.98 ± nan,98.72 ± nan,78.43 ± nan
