Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc
cora_ukvzafol_GAE_with_get_loader_RW,17.33 ± nan,20.51 ± nan,52.60 ± nan,74.69 ± nan,95.93 ± nan,98.50 ± nan,26.47 ± nan,17.33 ± nan,20.51 ± nan,52.60 ± nan,74.69 ± nan,95.93 ± nan,98.50 ± nan,99.60 ± nan,99.74 ± nan,89.91 ± nan
cora_hrzfzb7g_GAE_with_get_loader_RW,8.55 ± nan,13.92 ± nan,44.58 ± nan,57.50 ± nan,88.95 ± nan,98.48 ± nan,19.90 ± nan,8.55 ± nan,13.92 ± nan,44.58 ± nan,57.50 ± nan,88.95 ± nan,98.48 ± nan,99.64 ± nan,99.58 ± nan,84.49 ± nan
cora_rj4zzlui_GAE_with_get_loader_RW,7.53 ± nan,14.08 ± nan,43.70 ± nan,59.12 ± nan,87.15 ± nan,98.68 ± nan,19.14 ± nan,7.53 ± nan,14.08 ± nan,43.70 ± nan,59.12 ± nan,87.15 ± nan,98.68 ± nan,99.64 ± nan,99.58 ± nan,87.86 ± nan
cora_ay02k03i_GAE_with_get_loader_RW,7.55 ± nan,17.16 ± nan,43.32 ± nan,67.74 ± nan,89.34 ± nan,98.08 ± nan,19.34 ± nan,7.55 ± nan,17.16 ± nan,43.32 ± nan,67.74 ± nan,89.34 ± nan,98.08 ± nan,99.64 ± nan,99.65 ± nan,86.35 ± nan
cora_qjbu2nx5_GAE_with_get_loader_RW,18.75 ± nan,19.87 ± nan,57.39 ± nan,73.17 ± nan,97.01 ± nan,98.99 ± nan,27.26 ± nan,18.75 ± nan,19.87 ± nan,57.39 ± nan,73.17 ± nan,97.01 ± nan,98.99 ± nan,99.60 ± nan,99.73 ± nan,91.71 ± nan
cora_pr541e96_GAE_with_get_loader_RW,19.67 ± nan,22.16 ± nan,60.67 ± nan,72.92 ± nan,96.47 ± nan,98.99 ± nan,28.18 ± nan,19.67 ± nan,22.16 ± nan,60.67 ± nan,72.92 ± nan,96.47 ± nan,98.99 ± nan,99.82 ± nan,99.74 ± nan,91.21 ± nan
cora_76gcuxgk_GAE_with_get_loader_RW,8.46 ± nan,19.00 ± nan,38.49 ± nan,58.30 ± nan,86.44 ± nan,98.28 ± nan,19.45 ± nan,8.46 ± nan,19.00 ± nan,38.49 ± nan,58.30 ± nan,86.44 ± nan,98.28 ± nan,99.64 ± nan,99.57 ± nan,86.41 ± nan
cora_f45iqnji_GAE_with_get_loader_RW,21.05 ± nan,25.92 ± nan,50.53 ± nan,70.99 ± nan,96.45 ± nan,98.91 ± nan,28.22 ± nan,21.05 ± nan,25.92 ± nan,50.53 ± nan,70.99 ± nan,96.45 ± nan,98.91 ± nan,99.83 ± nan,99.75 ± nan,91.47 ± nan
cora_gm48cqvr_GAE_with_get_loader_RW,18.40 ± nan,19.00 ± nan,49.07 ± nan,74.87 ± nan,96.36 ± nan,99.69 ± nan,27.14 ± nan,18.40 ± nan,19.00 ± nan,49.07 ± nan,74.87 ± nan,96.36 ± nan,99.69 ± nan,99.59 ± nan,99.74 ± nan,91.37 ± nan
cora_rvhzw33t_GAE_with_get_loader_RW,7.72 ± nan,19.08 ± nan,38.17 ± nan,57.88 ± nan,86.66 ± nan,97.58 ± nan,19.68 ± nan,7.72 ± nan,19.08 ± nan,38.17 ± nan,57.88 ± nan,86.66 ± nan,97.58 ± nan,99.64 ± nan,99.57 ± nan,87.01 ± nan
cora_bhbr0tjv_GAE_with_get_loader_RW,8.00 ± nan,13.17 ± nan,32.02 ± nan,58.38 ± nan,89.28 ± nan,98.68 ± nan,19.28 ± nan,8.00 ± nan,13.17 ± nan,32.02 ± nan,58.38 ± nan,89.28 ± nan,98.68 ± nan,99.64 ± nan,99.58 ± nan,86.57 ± nan
cora_a19kdybc_GAE_with_get_loader_RW,9.82 ± nan,13.51 ± nan,31.45 ± nan,59.61 ± nan,89.31 ± nan,98.49 ± nan,19.19 ± nan,9.82 ± nan,13.51 ± nan,31.45 ± nan,59.61 ± nan,89.31 ± nan,98.49 ± nan,99.64 ± nan,99.58 ± nan,86.14 ± nan
cora_opeq79nf_GAE_with_get_loader_RW,16.14 ± nan,20.45 ± nan,56.31 ± nan,75.13 ± nan,95.97 ± nan,98.49 ± nan,24.99 ± nan,16.14 ± nan,20.45 ± nan,56.31 ± nan,75.13 ± nan,95.97 ± nan,98.49 ± nan,99.60 ± nan,99.74 ± nan,91.11 ± nan
cora_sunu4184_GAE_with_get_loader_RW,8.03 ± nan,17.56 ± nan,44.39 ± nan,58.24 ± nan,87.35 ± nan,98.17 ± nan,19.89 ± nan,8.03 ± nan,17.56 ± nan,44.39 ± nan,58.24 ± nan,87.35 ± nan,98.17 ± nan,99.64 ± nan,99.58 ± nan,87.92 ± nan
cora_c9r7efye_GAE_with_get_loader_RW,8.01 ± nan,18.01 ± nan,34.00 ± nan,58.30 ± nan,87.40 ± nan,98.42 ± nan,18.81 ± nan,8.01 ± nan,18.01 ± nan,34.00 ± nan,58.30 ± nan,87.40 ± nan,98.42 ± nan,99.64 ± nan,99.64 ± nan,87.63 ± nan
cora_ios2sxp7_GAE_with_get_loader_RW,8.66 ± nan,13.39 ± nan,34.51 ± nan,58.55 ± nan,88.75 ± nan,98.43 ± nan,19.70 ± nan,8.66 ± nan,13.39 ± nan,34.51 ± nan,58.55 ± nan,88.75 ± nan,98.43 ± nan,99.64 ± nan,99.57 ± nan,86.18 ± nan
cora_ijg7ukqc_GAE_with_get_loader_RW,9.62 ± nan,13.81 ± nan,43.58 ± nan,57.54 ± nan,88.94 ± nan,98.42 ± nan,19.06 ± nan,9.62 ± nan,13.81 ± nan,43.58 ± nan,57.54 ± nan,88.94 ± nan,98.42 ± nan,99.64 ± nan,99.58 ± nan,86.49 ± nan
cora_8g944edy_GAE_with_get_loader_RW,18.08 ± nan,17.52 ± nan,56.98 ± nan,76.43 ± nan,97.69 ± nan,98.42 ± nan,26.92 ± nan,18.08 ± nan,17.52 ± nan,56.98 ± nan,76.43 ± nan,97.69 ± nan,98.42 ± nan,99.83 ± nan,99.75 ± nan,91.36 ± nan
