Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc
ogbn-products_bl2ph5u5_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,70.78 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_k2x36wsz_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,70.78 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_urekptor_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,70.78 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_5jh7dz06_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.36 ± nan,1.78 ± nan,3.63 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.36 ± nan,1.78 ± nan,3.63 ± nan,70.78 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_nmq043jv_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,70.78 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_c8fn4by5_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,70.77 ± nan,74.63 ± nan,63.77 ± nan
ogbn-products_aprk208y_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,70.78 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_wpox60ht_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.36 ± nan,1.77 ± nan,3.63 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.36 ± nan,1.77 ± nan,3.63 ± nan,70.78 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_q77qu4jh_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,70.78 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_j21ozel9_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,70.78 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_fa06ze20_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,70.77 ± nan,74.63 ± nan,63.77 ± nan
ogbn-products_zf4op10u_GAE,0.01 ± nan,0.02 ± nan,0.29 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.29 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,70.78 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_sh8w7sh9_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,70.78 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_4vk4rkak_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,70.77 ± nan,74.63 ± nan,63.77 ± nan
ogbn-products_hrfrrw55_GAE,0.01 ± nan,0.02 ± nan,0.16 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.16 ± nan,0.39 ± nan,1.62 ± nan,3.63 ± nan,70.78 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_2a57mvqg_GAE,0.01 ± nan,0.02 ± nan,0.35 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.35 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,70.78 ± nan,74.63 ± nan,63.76 ± nan
ogbn-products_fs3if564_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,70.77 ± nan,74.63 ± nan,63.77 ± nan
ogbn-products_ojkzt7x5_GAE,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.15 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,70.77 ± nan,74.63 ± nan,63.77 ± nan
ogbn-products_j0ox05b5_GAE,0.01 ± nan,0.02 ± nan,0.24 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,0.20 ± nan,0.01 ± nan,0.02 ± nan,0.24 ± nan,0.39 ± nan,1.62 ± nan,3.64 ± nan,70.77 ± nan,74.63 ± nan,63.76 ± nan
